Number,Name,Constellation
13,Theta Hydrae,Hydra
14,Iota Hydrae,Hydra
15,Upsilon-1 Hydrae,Hydra
16,Delta Hydrae,Hydra
17,Beta Hydrae,Hydra
18,Eta Hydrae,Hydra
19,Minchir,Hydra
1,Beta Hydri,Hydrus
2,Head of Hydrus,Hydrus
3,Gamma Hydri,Hydrus
4,Delta Hydri,Hydrus
5,Epsilon Hydri,Hydrus
6,Eta-2 Hydri,Hydrus
7,Nu Hydri,Hydrus
8,Zeta Hydri,Hydrus
1,The Persian,Indus
2,Beta Indi,Indus
3,Delta Indi,Indus
4,Theta Indi,Indus
5,Eta Indi,Indus
1,Alpha Lacertae,Lacerta
2,Beta Lacertae,Lacerta
3,1 Lacertae,Lacerta
4,5 Lacertae,Lacerta
5,2 Lacertae,Lacerta
6,4 Lacertae,Lacerta
6,Regulus,Leo
7,Algiebra,Leo
8,Denebola,Leo
9,Zosma,Leo
10,Ras Elased Australis,Leo
11,Chertan,Leo
12,Adhafera,Leo
13,Eta Leonis,Leo
14,Subra,Leo
15,Rho Leonis,Leo
16,Ras Elased Borealis,Leo
17,Iota Leonis,Leo
18,Sigma Leonis,Leo
19,Alterf,Leo
20,Al Minliar al Asad,Leo
21,Chi Leonis,Leo
22,Pi Leonis,Leo
1,Praecipua,Leo Minor
2,Beta Leonis Minoris,Leo Minor
3,21 Leonis Minoris,Leo Minor
4,10 Leonis Minoris,Leo Minor
2,Arneb,Lepus
3,Nihal,Lepus
4,Sasin,Lepus
5,Neshmet,Lepus
6,Theta Leporus,Lepus
7,Zeta Leporus,Lepus
8,Gamma Leporus,Lepus
9,Eta Leporus,Lepus
10,Delta Leporus,Lepus
11,Lambda Leporus,Lepus
12,Kappa Leporus,Lepus
1,Zuben Elschemali,Libra
2,Zuben Elgenubi,Libra
3,Brachium,Libra
4,Upsilon Librae,Libra
5,Tau Librae,Libra
6,Zuben Elakrab,Libra
7,Theta Librae,Libra
8,Zuben Elakribi,Libra
1,Men,Lupus
2,Kekouan,Lupus
3,Gamma Lupi,Lupus
4,Delta Lupi,Lupus
5,Epsilon Lupi,Lupus
6,Zeta Lupi,Lupus
7,Eta Lupi,Lupus
8,Iota Lupi,Lupus
9,Phi-1 Lupi,Lupus
10,Pi Lupi,Lupus
11,Chi Lupi,Lupus
1,Alpha Lyncis,Lynx
2,38 Lyncis,Lynx
3,Alsciaukat,Lynx
4,2 Lyncis,Lynx
3,Vega,Lyra
4,Sulafat,Lyra
5,Sheliak,Lyra
6,Delta-2 Lyrae,Lyra
7,Theya Lyrae,Lyra
8,Aladfar,Lyra
9,Zeta Lyrae,Lyra
10,Epsilon Lyrae,Lyra
11,Lambda Lyrae,Lyra
12,Alathfar,Lyra
1,Alpha Mensae,Mensa
2,Beta Mensae,Mensa
3,Gamma Mensae,Mensa
4,Eta Mensae,Mensa
1,Gamma Microscopii,Microscopium
2,Epsilon Microscopii,Microscopium
3,Theta-1 Microscopii,Microscopium
