Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Dominican Republic,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          10567.32,58055.3,Kg
Pakistan,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,          10194.81,383626,Kg
Norway,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           9251.71,46448,Kg
Ukraine,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           9070.93,,
Qatar,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           8452.67,14225.2,Kg
Romania,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           8185.52,186558,Kg
Kazakhstan,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           7826.53,28757.1,Kg
Croatia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           7374.78,65485.5,Kg
Ecuador,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           7226.59,,
Philippines,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           7071.57,114911,Kg
Hungary,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           6796.12,44410.6,Kg
"Serbia, FR(Serbia/Montenegro)",Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           6329.63,24331.4,Kg
Slovak Republic,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           6299.91,90576,Kg
Luxembourg,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           6272.92,18959.6,Kg
Malaysia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           6247.65,450109,Kg
Lebanon,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           4994.23,18841.9,Kg
Morocco,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           4766.81,25319.7,Kg
Tunisia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           4610.43,7458,Kg
Bulgaria,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           4512.13,13554.6,Kg
Belarus,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           4091.80,4946.66,Kg
Sri Lanka,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           3915.49,44243.8,Kg
Kenya,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           3453.78,45666.4,Kg
Angola,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           3248.66,74528.7,Kg
Jordan,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2925.27,12870,Kg
Lithuania,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2677.96,17456.1,Kg
Paraguay,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2338.84,14511.3,Kg
Guatemala,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2273.78,35009,Kg
Cyprus,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2191.37,7947,Kg
Bolivia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2141.43,36919,Kg
Bahrain,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2132.16,7233.27,Kg
Uruguay,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2105.12,12454.4,Kg
Bosnia and Herzegovina,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2064.99,22872.6,Kg
North Macedonia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           2033.81,28358.9,Kg
Honduras,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1828.44,24919.7,Kg
Nicaragua,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1810.05,23893.5,Kg
El Salvador,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1698.57,26696.7,Kg
Latvia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1688.69,4755.94,Kg
Azerbaijan,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1617.20,10724.1,Kg
Peru,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1577.56,9941.46,Kg
Jamaica,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1411.13,9325.3,Kg
Georgia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1362.98,5716.66,Kg
Nigeria,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1289.71,254845,Kg
Estonia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1289.61,4186.99,Kg
Uganda,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1185.05,11830.1,Kg
Iceland,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1152.11,3416.28,Kg
Malta,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1117.47,34327.8,Kg
Burkina Faso,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1077.14,13745,Kg
Moldova,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,           1028.36,3978.59,Kg
Mozambique,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,            963.25,2028,Kg
Armenia,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,            957.12,5158.07,Kg
Uzbekistan,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,            932.86,1647.28,Kg
Occ.Pal.Terr,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,            894.46,2641.42,Kg
Nepal,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,            808.87,13518.6,Kg
Montenegro,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,            788.30,4137.16,Kg
Kyrgyz Republic,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,            770.15,6598,Kg
Malawi,Import,300610,"Pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents and absorbable surgical or dental haemostatics",2019, World,            724.38,16255.6,Kg
