Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Sao Tome and Principe,Export,940310,"Furniture; metal, for office use",2019, World,              2.85,274,Kg
"Congo, Dem. Rep.",Export,940310,"Furniture; metal, for office use",2019, World,              2.44,1292,Kg
Mozambique,Export,940310,"Furniture; metal, for office use",2019, World,              2.33,322.661,Kg
Eswatini,Export,940310,"Furniture; metal, for office use",2019, World,              1.81,370,Kg
Guyana,Export,940310,"Furniture; metal, for office use",2019, World,              1.62,1933,Kg
Zambia,Export,940310,"Furniture; metal, for office use",2019, World,              1.40,1096.16,Kg
Cote d'Ivoire,Export,940310,"Furniture; metal, for office use",2019, World,              1.37,1072,Kg
Rwanda,Export,940310,"Furniture; metal, for office use",2019, World,              1.34,4150,Kg
Malawi,Export,940310,"Furniture; metal, for office use",2019, World,              1.09,1969,Kg
Tanzania,Export,940310,"Furniture; metal, for office use",2019, World,              1.09,743.19,Kg
St. Vincent and the Grenadines,Export,940310,"Furniture; metal, for office use",2019, World,              1.04,163,Kg
Paraguay,Export,940310,"Furniture; metal, for office use",2019, World,              1.02,496,Kg
St. Lucia,Export,940310,"Furniture; metal, for office use",2019, World,              0.98,356.04,Kg
Uruguay,Export,940310,"Furniture; metal, for office use",2019, World,              0.66,2.264,Kg
"Congo, Rep.",Export,940310,"Furniture; metal, for office use",2019, World,              0.42,212,Kg
Zimbabwe,Export,940310,"Furniture; metal, for office use",2019, World,              0.35,117.58,Kg
Tajikistan,Export,940310,"Furniture; metal, for office use",2019, World,              0.29,81,Kg
Kyrgyz Republic,Export,940310,"Furniture; metal, for office use",2019, World,              0.25,84,Kg
Belize,Export,940310,"Furniture; metal, for office use",2019, World,              0.18,632.53,Kg
Grenada,Export,940310,"Furniture; metal, for office use",2019, World,              0.13,20,Kg
Mali,Export,940310,"Furniture; metal, for office use",2019, World,              0.12,15,Kg
Lesotho,Export,940310,"Furniture; metal, for office use",2019, World,              0.03,62,Kg
