Constellation,Number,HD,Mag,Lon,Lat
Centaurus,15,105937.0,3.97,-2.913125000000008,-51.63158333333333
Centaurus,3,123139.0,2.06,-31.67216666666667,-35.63130555555556
Centaurus,17,121743.0,3.83,-29.56783333333334,-41.89930555555556
Cetus,6,14386.0,3.04,145.163375,-1.0229444444444444
Cetus,10,11353.0,3.74,152.13495833333334,-9.665055555555554
Cetus,9,8512.0,3.6,158.99395833333332,-7.81725
Cetus,4,6805.0,3.46,162.85308333333333,-9.818083333333334
Cetus,8,1522.0,3.56,175.143,-7.176166666666667
Cetus,2,4128.0,2.04,169.10320833333333,-16.013305555555554
Cetus,7,10700.0,3.49,153.978625,-14.060444444444444
Chamaeleon,1,71243.0,4.05,55.369708333333335,-75.08002777777777
Chamaeleon,4,71701.0,4.34,54.83795833333333,-76.51541666666667
Chamaeleon,6,93779.0,5.46,18.681749999999997,-79.53047222222222
Chamaeleon,3,106911.0,4.24,-4.587250000000012,-78.68772222222222
Chamaeleon,5,104174.0,4.88,0.0929583333333425,-77.77819444444444
Chamaeleon,2,92305.0,4.11,21.13241666666667,-77.39219444444446
Circinus,1,128898.0,3.18,-40.62787499999999,-63.025416666666665
Circinus,4,131492.0,5.08,-44.18333333333334,-61.219
Columba,4,36597.0,3.86,97.19691666666668,-34.529555555555554
Columba,1,37795.0,2.65,95.08775,-33.92594444444444
Columba,2,39425.0,3.12,92.26020833333334,-34.230694444444445
Columba,6,40494.0,4.36,90.61579166666668,-34.71669444444444
Corona Australis,3,177475.0,4.99,-106.60458333333332,-36.93666666666667
Corona Australis,1,178253.0,4.11,-107.36783333333337,-36.09575
Corona Australis,2,178345.0,4.1,-107.50729166666667,-38.65930555555556
Corona Australis,4,177873.0,4.57,-107.08720833333332,-39.50336111111111
Corona Australis,5,176638.0,4.74,-105.77845833333332,-41.905
Corvus,1,106625.0,2.58,-3.951958333333323,-16.458027777777776
Corvus,3,108767.0,2.94,-7.466583333333347,-15.484916666666669
Corvus,2,109379.0,2.65,-8.596791666666661,-22.60338888888889
Corvus,4,105707.0,3.02,-2.531374999999997,-21.380194444444445
Crater,5,100889.0,4.7,5.829374999999999,-8.19775
Crater,7,99167.0,4.81,8.847458333333321,-9.140611111111111
Crater,1,98430.0,3.56,10.164500000000004,-13.220944444444443
Crater,2,95272.0,4.08,15.055208333333326,-17.700888888888887
Crater,3,99211.0,4.06,8.77924999999999,-16.31597222222222
Crater,6,102070.0,4.71,3.809333333333342,-17.649388888888886
Crux,3,108903.0,1.6,-7.791374999999988,-56.88744444444444
Crux,1,108250.0,4.86,-6.628749999999997,-62.8775
Dorado,4,27290.0,4.26,115.99379166666668,-50.51291666666667
Dorado,2,29305.0,3.3,111.50116666666666,-54.955000000000005
Dorado,6,33262.0,4.71,103.622125,-56.527
