Constellation,Number,HD,Mag,Lon,Lat
Cetus,14,15318.0,4.3,142.96033333333332,8.460083333333333
Cetus,12,16582.0,4.08,140.129375,0.3285277777777777
Coma Berenices,10,114378.0,4.32,-17.498124999999987,17.52911111111111
Coma Berenices,9,114710.0,4.26,-17.970499999999987,27.87602777777778
Corona Borealis,7,143807.0,4.98,-60.36079166666667,29.85108333333333
Corona Borealis,4,143107.0,4.14,-59.39708333333334,26.878027777777778
Corona Borealis,6,141714.0,4.59,-57.39875000000001,26.068555555555555
Corona Borealis,3,140436.0,3.81,-55.68600000000001,26.295527777777775
Corona Borealis,1,139006.0,2.22,-53.671625000000006,26.714916666666667
Corona Borealis,2,137909.0,3.66,-51.95770833333333,29.105500000000003
Cygnus,7,183912.0,3.05,-112.68037500000004,27.959694444444445
Cygnus,14,188947.0,3.89,-119.07666666666664,35.0835
Cygnus,4,194093.0,2.23,-125.55708333333332,40.25669444444444
Cygnus,6,186882.0,2.86,-116.24349999999998,45.13069444444445
Cygnus,11,184006.0,3.76,-112.42641666666668,51.72947222222223
Cygnus,16,192909.0,3.96,-123.868,47.714194444444445
Cygnus,3,197345.0,1.25,-130.35795833333333,45.28033333333333
Cygnus,15,199629.0,3.94,-134.29337500000003,41.16719444444444
Cygnus,8,202109.0,3.21,-138.23408333333333,30.227083333333333
Delphinus,4,195810.0,4.03,-128.30316666666664,11.303333333333336
Delphinus,1,196524.0,3.64,-129.38695833333333,14.595194444444443
Delphinus,2,196867.0,3.77,-129.909375,15.912055555555556
Delphinus,3,197963.0,5.15,-131.66195833333336,16.12461111111111
Delphinus,5,197461.0,4.43,-130.8647916666667,15.074694444444445
Draco,2,164058.0,2.24,-89.15158333333335,51.48894444444444
Draco,4,159181.0,2.79,-82.60825,52.30136111111111
Draco,19,159560.0,4.86,-83.06616666666667,55.17280555555556
Draco,10,163588.0,3.73,-88.38179166666669,56.87244444444445
Draco,5,180711.0,3.07,-108.138125,67.66130555555556
Draco,15,170000.0,4.22,-95.18933333333332,71.33772222222221
Draco,6,155763.0,3.17,-77.19679166666668,65.71463888888889
Draco,3,148387.0,2.73,-65.99795833333334,61.51408333333333
Draco,14,144284.0,4.01,-60.47375,58.56444444444444
Draco,7,137759.0,3.29,-51.232416666666666,58.96602777777778
Draco,9,123299.0,3.67,-31.097624999999997,64.37580555555554
Draco,11,109387.0,3.85,-8.37100000000001,69.78822222222222
Equuleus,1,202447.0,3.92,-138.95583333333332,5.248083333333334
Equuleus,2,202275.0,4.47,-138.61995833333333,10.007722222222222
Gemini,9,48737.0,3.35,78.677375,12.896055555555556
Gemini,12,56537.0,3.58,70.476625,16.540472222222224
Gemini,10,56986.0,3.5,69.96920833333333,21.982333333333333
Gemini,14,52973.0,4.01,73.97275,20.57030555555556
Gemini,15,60522.0,4.06,66.01929166666666,26.896
Gemini,7,58207.0,3.78,68.568,27.79827777777778
Gemini,18,54719.0,4.41,72.21504166666666,30.24527777777778
Gemini,17,58946.0,4.16,67.72245833333334,31.78408333333333
Gemini,6,48329.0,3.06,79.01695833333333,25.13116666666667
Gemini,5,44478.0,2.87,84.26004166666667,22.51386111111111
Gemini,8,42995.0,3.31,86.28041666666667,22.506833333333333
Hercules,12,160762.0,3.82,-84.86620833333336,46.00633333333333
Hercules,14,163770.0,3.86,-89.06324999999998,37.250527777777776
Hercules,17,157778.0,5.4,-80.92083333333335,37.145833333333336
Hercules,6,156283.0,3.16,-78.76187499999997,36.80916666666666
Hercules,9,150997.0,3.48,-70.72391666666667,38.92247222222222
Hercules,18,149630.0,4.2,-68.52579166666666,42.43688888888889
Hercules,15,147394.0,3.91,-64.93520833333332,46.31327777777778
Hercules,19,145389.0,4.23,-62.1925,44.93480555555555
Hercules,4,150680.0,2.81,-70.32283333333334,31.60188888888889
Hercules,3,148856.0,2.78,-67.55525,21.48963888888889
Hercules,11,147547.0,3.74,-65.48016666666666,19.153027777777776
Hercules,16,153808.0,3.92,-75.07254166666667,30.926333333333336
Hercules,5,156164.0,3.12,-78.75799999999998,24.839583333333334
Hercules,20,158899.0,4.41,-82.68458333333331,26.110611111111112
Hercules,7,161797.0,3.42,-86.6155,27.7225
Hercules,10,163993.0,3.7,-89.44095833333336,29.24791666666667
Hydra,6,76294.0,3.11,46.151333333333326,5.945527777777778
Hydra,9,74874.0,3.38,48.30562499999999,6.418916666666667
Hydra,16,73262.0,4.14,50.585791666666665,5.703805555555555
Hydra,19,73471.0,4.45,50.31062499999999,3.3414722222222224
Hydra,18,74280.0,4.3,49.19379166666667,3.3986666666666667
Hydra,23,79469.0,3.89,41.40920833333334,2.315027777777777
Lacerta,2,212496.0,4.42,-155.8901666666667,52.2295
Lacerta,1,213558.0,3.76,-157.82241666666664,50.28244444444445
Lacerta,6,212593.0,4.55,-156.12916666666666,49.47638888888889
Lacerta,4,213310.0,4.34,-157.38258333333334,47.70688888888889
Lacerta,5,212120.0,4.55,-155.256375,46.53655555555555
Lacerta,7,214868.0,4.5,-160.12824999999998,44.27627777777778
Lacerta,8,213420.0,4.52,-157.62191666666666,43.12338888888889
Lacerta,9,211073.0,4.5,-153.46958333333333,39.71488888888889
Leo,8,102647.0,2.14,2.7338333333333367,14.572333333333331
Leo,9,97603.0,2.56,11.473291666666654,20.52402777777778
Leo,11,97633.0,3.33,11.439833333333326,15.42975
