Constellation,Number,HD,Mag,Lon,Lat
Sculptor,2,221507,4.38,-173.2424583,-36.18163889
Virgo,23,114330,4.38,-17.48754167,-4.461083333
Sagitta,4,185758,4.38,-115.0240833,18.01394444
Sagitta,5,185958,4.38,-115.2622083,17.47611111
Sagittarius,33,189103,4.37,-119.9340417,-34.72375
Aquila,10,184930,4.36,-114.1803333,-0.713444444
Canis Major,11,51309,4.36,75.96570833,-16.94575
Columba,6,40494,4.36,90.61579167,-34.71669444
Lepus,12,33949,4.36,101.692125,-11.05872222
Monoceros,5,67594,4.36,57.85141667,-1.016222222
Phoenix,8,4150,4.36,169.1615,-56.53688889
Lynx,8,50522,4.35,75.68083333,58.42305556
Orion,20,30739,4.35,107.347,8.90025
Pavo,11,168339,4.35,-95.80675,-60.50608333
Piscis Austrinus,5,206742,4.35,-146.236625,-32.97444444
Ursa Minor,6,166205,4.35,-83.05375,86.58633333
Volans,6,68520,4.35,58.01733333,-67.38286111
Aries,5,19787,4.35,132.0930417,19.72669444
Coma Berenices,11,108381,4.35,-6.734708333,28.26861111
Andromeda,17,3369,4.34,170.7798333,33.71936111
Andromeda,18,3546,4.34,170.3604167,29.31236111
Chamaeleon,4,71701,4.34,54.83795833,-76.51541667
Dorado,5,39014,4.34,93.80658333,-64.26447222
Lacerta,4,213310,4.34,-157.3825833,47.70688889
Lyra,9,173648,4.34,-101.1930833,37.60505556
Pavo,9,165040,4.33,-92.14495833,-62.33194444
Pisces,4,12446,4.33,149.4883333,2.76375
Coma Berenices,10,114378,4.32,-17.498125,17.52911111
Leo,19,82308,4.32,37.06983333,22.96805556
Serpens,12,156928,4.32,-80.20683333,-11.15311111
Octans,3,124882,4.31,-36.73225,-82.33213889
Cetus,14,15318,4.3,142.9603333,8.460083333
Hydra,18,74280,4.3,49.19379167,3.398666667
Sculptor,1,5737,4.3,165.3485417,-28.64252778
Andromeda,16,222173,4.29,-174.5340833,43.26808333
Hydra,17,103192,4.29,1.772666667,-32.09186111
Lepus,11,34816,4.29,100.106125,-12.82322222
Piscis Austrinus,4,213398,4.29,-157.8762083,-31.65397222
Ursa Minor,5,142105,4.29,-56.01441667,77.7945
Aquarius,15,209819,4.29,-151.6092083,-12.13047222
Antlia,1,90610,4.28,23.21183333,-30.93219444
Grus,9,218227,4.28,-166.719875,-42.47966667
Capricornus,11,203387,4.27,-140.5615833,-15.16544444
Cetus,13,17094,4.27,138.765125,10.11422222
Pisces,8,220954,4.27,-171.992375,6.379111111
Pisces,9,6186,4.27,164.2639167,7.890083333
Taurus,14,29763,4.27,109.43875,22.95697222
Taurus,15,26912,4.27,116.1164583,8.892416667
Vela,1,68243,4.27,57.62791667,-46.65416667
Andromeda,15,6811,4.26,162.6245,47.24183333
Camelopardalis,3,30614,4.26,106.4874583,66.34266667
Coma Berenices,9,114710,4.26,-17.9705,27.87602778
Dorado,4,27290,4.26,115.9937917,-50.51291667
Eridanus,19,22203,4.26,126.553125,-20.36719444
Eridanus,32,20794,4.26,130.02825,-42.92844444
Pisces,7,10761,4.26,153.6517083,9.157638889
Cancer,5,76756,4.26,45.37833333,11.85777778
Lynx,3,70272,4.25,54.291125,43.18836111
Lynx,6,70272,4.25,54.291125,43.18836111
Perseus,19,25642,4.25,118.3539167,50.35136111
Centaurus,19,111968,4.25,-13.35895833,-39.82119444
Aquarius,16,219449,4.24,-168.972,-8.912305556
Canes Venatici,7,109358,4.24,-8.437875,41.35677778
Chamaeleon,3,106911,4.24,-4.58725,-78.68772222
Eridanus,18,15371,4.24,143.25375,-46.29616667
Eridanus,33,17081,4.24,138.969375,-12.14133333
Apus,3,149324,4.23,-70.77258333,-76.48341667
Cepheus,8,206936,4.23,-145.876875,58.78005556
Hercules,19,145389,4.23,-62.1925,44.93480556
Tucana,3,1581,4.23,174.9920417,-63.12238889
Virgo,22,122408,4.23,-30.41158333,1.544583333
Aquarius,14,219215,4.22,-168.5805417,-5.951472222
Draco,15,170000,4.22,-95.18933333,71.33772222
Eridanus,17,23754,4.22,123.2875417,-22.75155556
Lyra,6,175588,4.22,-103.6262083,36.89861111
Pavo,6,173948,4.22,-103.0543333,-61.81244444
Scutum,4,173764,4.22,-101.7936667,-3.252166667
Pavo,8,203608,4.21,-141.610375,-64.63186111
Ursa Minor,4,153751,4.21,-71.49233333,82.03725
Camelopardalis,2,21291,4.21,127.7327917,59.94033333
Cepheus,10,195725,4.21,-127.395125,62.99413889
Hercules,18,149630,4.2,-68.52579167,42.43688889
Leo Minor,2,90537,4.2,23.02879167,36.70747222
Piscis Austrinus,3,216763,4.2,-163.9870417,-31.46030556
Puppis,11,65228,4.2,60.78516667,-21.11986111
Boötes,12,125162,4.18,-34.09658333,46.08791667
Cepheus,9,211336,4.18,-153.757,57.04347222
Piscis Austrinus,2,214748,4.18,-160.163875,-26.95638889
Aquarius,13,211391,4.17,-154.2082083,-6.21675
Eridanus,30,24160,4.17,122.6363333,-35.79988889
Gemini,17,58946,4.16,67.72245833,31.78408333
Gemini,19,41116,4.16,88.96991667,23.26363889
Andromeda,14,222439,4.15,-175.1018333,44.33397222
Monoceros,4,55185,4.15,72.03391667,0.492777778
Corona Borealis,4,143107,4.14,-59.39708333,26.87802778
Hydra,16,73262,4.14,50.58579167,5.703805556
Corona Borealis,5,138749,4.14,-53.2325,31.35916667
Lacerta,3,211388,4.14,-153.992375,37.74872222
Pegasus,12,206901,4.14,-146.16125,25.645
Capricornus,9,197692,4.13,-131.5240417,-24.72947222
Octans,2,214846,4.13,-161.5155,-80.61838889
Pisces,6,222368,4.13,-174.98675,5.627361111
Gemini,16,45542,4.13,82.75920833,20.21216667
Canis Major,10,53244,4.12,74.06045833,-14.36675
