artist,album,track_name,track_id,release_year,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Natti Natasha,Criminal,Criminal,6Za3190Sbw39BBC77WSS1C,2018,False,78,0.814,0.813,2,-3.023,0,0.0561,9.33e-05,0.255,0.839,79.997,232550,4
Rich The Kid,The World Is Yours,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,2018,True,77,0.876,0.519,11,-6.531,1,0.143,0.0,0.108,0.158,94.981,175230,4
Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2018,False,90,0.351,0.296,4,-10.109,0,0.0333,0.0,0.095,0.12,115.284,200186,4
Migos,Culture II,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,2018,True,74,0.817,0.816,2,-5.402,1,0.269,0.0,0.159,0.508,181.982,190288,4
Kendrick Lamar,DAMN.,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,2018,True,87,0.908,0.621,1,-6.638,0,0.102,5.39e-05,0.0958,0.421,150.011,177000,4
Ozuna,Aura,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,2018,False,76,0.754,0.805,6,-4.249,1,0.0752,0.0,0.203,0.555,93.982,176133,4
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),Perfect Duet (Ed Sheeran & Beyoncé),1bhUWB0zJMIKr9yVPrkEuI,2018,False,83,0.587,0.299,8,-7.365,1,0.0263,0.0,0.123,0.356,94.992,259550,3
Maluma,F.A.M.E.,Corazón (feat. Nego do Borel),5cepAtqnEQ6yVG6088zMMu,2018,False,73,0.722,0.738,9,-6.073,0,0.247,1.47e-05,0.198,0.748,198.075,184720,4
Khalid,American Teen,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,2018,False,83,0.799,0.539,1,-6.351,1,0.0421,1.66e-05,0.165,0.394,136.948,202547,4
Ozuna,Odisea,Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,2018,False,72,0.855,0.664,9,-7.11,0,0.0607,3.97e-05,0.0937,0.626,98.015,226800,4
Anitta,Downtown,Downtown,3Ga6eKrUFf12ouh9Yw3v2D,2018,False,75,0.775,0.679,4,-4.985,0,0.135,7.26e-05,0.068,0.619,166.008,193456,4
