,Event_Name,Day,Setup,Pre-Event,Event_Start,Event_End,Post-Event,Takedown,Location,Formal_Name,Exp_Head_Count,Act. Head Count,Reservation Name,Reference #,Event Type,Organization,date,Location1
3664,InterVarsity Bible Study,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,UH 500,UH 500 - Unity Hall Classroom,20,,,2022-ABPAHW,Student - Meeting,INTERVARSITY CHRISTIAN FELLOWSHIP,9/2/2022,UH
3665,PRACTICE: KARATE,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:30 PM,7:30 PM,7:30 PM,RC DANCE C,Sports and Recreation Center 433 - Dance Studio C,30,0,,2021-ABNTQM,Athletic - Club Sport Practice,KARATE CLUB,9/2/2022,RC
3666,PRACTICE: SOMA,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:30 PM,7:30 PM,7:30 PM,RC DANCE A,Sports and Recreation Center 428 - Dance Studio A,40,0,,2021-ABNTQV,Athletic - Club Sport Practice,SOCIETY OF MARTIAL ARTS (SOMA),9/2/2022,RC
3667,PRACTICE: SOMA,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:30 PM,7:30 PM,7:30 PM,RC DANCE A-B,Sports and Recreation Center 428/430 - Dance Sudio A&B Jointly,40,0,,2021-ABNTQV,Athletic - Club Sport Practice,SOCIETY OF MARTIAL ARTS (SOMA),9/2/2022,RC
3668,PRACTICE: SOMA,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:30 PM,7:30 PM,7:30 PM,RC DANCE B,Sports and Recreation Center 430 - Dance Sudio B,40,0,,2021-ABNTQV,Athletic - Club Sport Practice,SOCIETY OF MARTIAL ARTS (SOMA),9/2/2022,RC
3680,WoAA GBM,2/9/2022,6:30 PM,6:30 PM,6:30 PM,8:00 PM,8:00 PM,8:00 PM,HL 154,Higgins Labs 154 - Classroom,15,,,2022-ABNXCX,Student - Meeting,WOMEN IN AEROSPACE ENGINEERING,9/2/2022,HL
3681,Cheese Club Exec,2/9/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,IS 1965 CONFERENCE ROOM,"IS 207, Innovation Studio - 1965 Conference Room",7,,,2022-ABNXWV,Student - Meeting,CHEESE CLUB,9/2/2022,IS
3682,Equestrian Team General Body Meeting,2/9/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,SL 115,Salisbury Labs 115 - Kinnicutt Hall,45,,,2021-ABNWBH,Student - Meeting,EQUESTRIAN TEAM,9/2/2022,SL
3683,EWB C-term GBMs,2/9/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,SL 411,Salisbury Labs 411 - Classroom,20,,,2022-ABNWVM,Student - Meeting,ENGINEERS WITHOUT BORDERS,9/2/2022,SL
3684,IFC Weekly Meetings,2/9/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,OH 107,Olin Hall 107 - Lecture Hall,39,,,2022-ABNZWZ,Student - Meeting,IFC,9/2/2022,OH
3685,IGDA meeting,2/9/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,HL 230,Higgins Labs 230 - Geometric Modeling Computer Lab,25,,,2022-ABPBXK,Student - Meeting,INTERNATIONAL GAME DEVELOPERS ASSOC,9/2/2022,HL
3686,Wireless Association General Meeting,2/9/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,SL 104,Salisbury Labs 104 - Classroom,15,,,2022-ABPDSR,Student - Meeting,WIRELESS ASSOCIATION,9/2/2022,SL
3690,BSU Fashion Show Practice,2/9/2022,7:00 PM,7:00 PM,7:00 PM,9:00 PM,9:00 PM,9:00 PM,RILEY COMMONS,Riley Commons,30,0,,2022-ABNZML,Student - Performance/Rehearsal,BLACK STUDENT UNION,9/2/2022,RILEY
3691,Cybersecurity Club CTF Practice,2/9/2022,7:00 PM,7:00 PM,7:00 PM,9:00 PM,9:00 PM,9:00 PM,IS 105,Innovation Studio 105,15,,,2022-ABNXFG,Student - Training/Workshop,CYBER SECURITY CLUB,9/2/2022,IS
