Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Grenada,Import,281122,Silicon dioxide,2019, World,             16.72,2819,Kg
Jamaica,Import,281122,Silicon dioxide,2019, World,             15.61,25704.2,Kg
Mauritania,Import,281122,Silicon dioxide,2019, World,             15.46,5310,Kg
Aruba,Import,281122,Silicon dioxide,2019, World,             13.69,2566.5,Kg
Fiji,Import,281122,Silicon dioxide,2019, World,             12.53,7074.91,Kg
Mali,Import,281122,Silicon dioxide,2019, World,             12.45,12696,Kg
Bermuda,Import,281122,Silicon dioxide,2019, World,             10.06,1927.21,Kg
Guyana,Import,281122,Silicon dioxide,2019, World,              9.31,951.38,Kg
"Gambia, The",Import,281122,Silicon dioxide,2019, World,              9.14,8395,Kg
Burkina Faso,Import,281122,Silicon dioxide,2019, World,              8.73,480,Kg
Albania,Import,281122,Silicon dioxide,2019, World,              8.71,24110.3,Kg
Yemen,Import,281122,Silicon dioxide,2019, World,              8.41,4850,Kg
Maldives,Import,281122,Silicon dioxide,2019, World,              6.02,,
Belize,Import,281122,Silicon dioxide,2019, World,              2.26,915.15,Kg
Samoa,Import,281122,Silicon dioxide,2019, World,              2.09,4737.37,Kg
Cape Verde,Import,281122,Silicon dioxide,2019, World,              1.63,788,Kg
Antigua and Barbuda,Import,281122,Silicon dioxide,2019, World,              0.22,13.4,Kg
Sao Tome and Principe,Import,281122,Silicon dioxide,2019, World,              0.13,13,Kg
St. Vincent and the Grenadines,Import,281122,Silicon dioxide,2019, World,              0.02,7.63,Kg
